,CustomerID,lat,lng,delivery_locality,delivery_zipcode,OrderSize,OrderDate,ServiceTime
854,a43968f6-9e88-49cf-b1ef-4abc87aabb8c,40.7692757,-73.9669181,manhattan,10065,3,2/26/14,2.625
754,8a9798bc-16f2-4a27-bf64-53b2e163d438,40.739889,-73.9868315,manhattan,10010,5,2/26/14,4.375
813,96cefc25-f246-4352-b000-795015d25dba,40.7473346,-73.9921552,manhattan,10001,1,2/26/14,0.875
845,cc07cbb2-4ef5-4c0b-8963-829b8b68ed05,40.7472411,-73.9957472,manhattan,10001,3,2/26/14,2.625
996,f05c5f0a-a34f-41e3-9541-3c364ccc2fa8,40.7531978,-73.9932424,manhattan,10018,1,2/26/14,0.875
811,68c17b8c-6678-440e-9da2-86a58e0cefaf,40.7700838,-73.9663677,manhattan,10021,2,2/26/14,1.75
979,a55626c3-50ea-4ada-a1b1-dee9231c0d68,40.7792488,-73.9503721,manhattan,10128,8,2/26/14,5
753,dacb2a58-a8b9-4195-b5b9-0f9e1b6466e4,40.788132,-73.9743784,manhattan,10024,3,2/26/14,2.625
912,2268dd03-fa81-4568-9a76-74f5c9af46e6,40.7374809,-73.9944579,manhattan,10011,2,2/26/14,1.75
901,d076114c-5812-4b34-b596-0f61e7fe08bf,40.7608916,-73.9664334,manhattan,10022,4,2/26/14,3.5
950,f0250c9a-e0f9-4dcd-bc00-9d16529c1071,40.733526,-74.0047268,manhattan,10014,1,2/26/14,0.875
844,af0fb51e-8d06-40be-af3e-b7d79ea6d0f2,40.7500435,-74.0048864,manhattan,10001,2,2/26/14,1.75
779,1b2a52ca-6048-47be-85ae-ed6968f828ec,40.7833927,-73.9798349,manhattan,10024,2,2/26/14,1.75
897,5b9b3014-9967-4701-be4f-c0cca18a2fbd,40.7169064,-74.0055581,manhattan,10013,5,2/26/14,4.375
780,5771797f-6a63-4ef4-abe9-827876aeebf1,40.7509809,-73.9776329,manhattan,10017,4,2/26/14,3.5
782,db2beaa7-13c1-4424-a04c-158a176845e7,40.7666871,-73.9795594,manhattan,10019,3,2/26/14,2.625
955,9748e2c2-ec8d-477c-8393-9cf2f5d3b481,40.7104702,-74.0105359,manhattan,10007,3,2/26/14,2.625
712,a5bb2e12-d54b-49c4-bf2c-f53158622169,40.7553548,-73.9878965,manhattan,10018,4,2/26/14,3.5
765,d1dccda7-d7bf-453d-b065-6fcbe6001e1b,40.7829293,-73.9524223,manhattan,10128,3,2/26/14,2.625
827,bfc29e7d-e106-4e2c-8895-df3e9bbfd649,40.7261038,-73.9935282,manhattan,10012,2,2/26/14,1.75
1013,f65120c9-f245-4c59-8530-788d72cdc406,40.7517126,-73.9907907,manhattan,10123,4,2/26/14,3.5
1044,5fcbca50-6547-457a-bf01-b8dcdd2bec12,40.7657736,-73.9519246,manhattan,10021,3,2/26/14,2.625
814,c9c83319-a969-4de3-8180-527174cefa27,40.7028885,-74.0138771,manhattan,10004,3,2/26/14,2.625
810,bd08b5b9-79e6-4947-b6e7-8e7b915060df,40.7230654,-74.0083912,manhattan,10013,2,2/26/14,1.75
777,d1830b2f-bfb4-4a00-8176-9e8753ace53f,40.7474591,-73.9925113,manhattan,10001,4,2/26/14,3.5
965,09b405aa-78dd-45f3-91c2-e26c4c7b9f09,40.7792488,-73.9503721,manhattan,10128,9,2/26/14,5
826,33d5073c-ae32-45df-9c52-242577b29771,40.7490074,-73.9751509,manhattan,10158,2,2/26/14,1.75
914,81ae301f-e02f-4868-bf37-9b5d135eea7f,40.7900987,-73.9663587,manhattan,10025,1,2/26/14,0.875
931,04a590fc-f38f-48d7-b0f7-b8008e2b65dc,40.7622869,-73.9750432,manhattan,10019,3,2/26/14,2.625
941,c884efba-7538-423f-b9bf-58a80ad1d032,40.7385356,-73.9922313,manhattan,10011,5,2/26/14,4.375